Input,Output
00778,B15-2
00779,B1-1
00780,B15-2
00781,B15-2
00782,B23-2
00783,B31-2
00784,B1-2
00785,B8-2
00786,B15-2
00787,B8-2
00788,B8-2
00789,B8-1
00790,B8-1
00791,B8-1
00792,B8-1
00793,B8-1
00794,B8-1
00795,B8-2
00796,B8-1
00797,B8-1
00798,B8-1
00799,B8-1
00800,B8-1
00801,B8-1
00802,B8-1
00803,B8-1
00804,B8-1
00805,B8-1
00806,B8-1
00807,B8-1
00808,B8-1
00809,B8-2
00810,B8-2
00811,B46-5
00812,B46-5
00813,B39-2
00814,B13-2
00815,B15-2
00816,B39-2
00817,B1-2
00818,B31-2
00819,B20-2
00820,B39-2
00821,B15-2
00822,B13-2
00823,B33-2
00824,B29-8
00825,B1-2
00826,B9-1
00827,B9-1
00828,B9-1
00829,B9-1
00830,B9-1
00831,B9-1
00832,B9-1
00833,B9-1
00834,B9-1
00835,B9-1
00836,B9-1
00837,B9-1
00838,B9-1
00839,B9-1
00840,B9-1
00841,B9-1
00842,B9-1
00843,B9-1
00844,B9-1
00845,B9-1
00846,B9-1
00847,B9-1
00848,B9-1
00849,B9-1
00850,B9-2
00851,B29-9
00852,B29-9
00853,B29-9
00854,B39-2
00855,B15-2
00856,B39-2
00857,B15-2
00858,B29-9
00859,B27-2
00860,B15-1
00861,B29-9
00862,B10-2
00863,B10-1
00864,B10-1
00865,B10-1
00866,B10-1
00867,B10-1
00868,B10-1
00869,B10-1
00870,B10-1
00871,B10-1
00872,B10-1
00873,B10-2
00874,B10-2
00875,B10-2
00876,B10-1
00877,B10-1
00878,B10-1
00879,B10-2
00880,B10-2
00881,B10-1
00882,B10-2
00883,B10-2
00884,B10-1
00885,B10-2
00886,B10-1
00887,B10-2
00888,B15-2
00889,B15-1
00890,B17-2
00891,B24-2
00892,B6-1
00893,B39-2
00894,B15-2
00895,B29-11
00896,B29-11
00897,B29-11
00898,B29-11
00899,B29-11
00900,B15-1
00901,B29-11
00902,B29-11
00903,B29-11
00904,B11-2
00905,B11-2
00906,B11-2
00907,B11-2
00908,B11-2
00909,B11-2
00910,B11-2
00911,B11-2
00912,B11-2
00913,B11-2
00914,B11-2
00915,B11-2
00916,B11-2
00917,B11-2
00918,B11-2
00919,B11-2
00920,B11-2
00921,B11-2
00922,B11-2
00923,B11-2
00924,B11-2
00925,B11-2
00926,B29-11
00927,B12-1
00928,B12-1
00929,B12-1
00930,B12-1
00931,B12-2
00932,B12-2
00933,B15-1
00934,B15-2
00935,B29-11
00936,B29-11
00937,B29-11
00938,B29-11
00939,B29-11
00940,B29-11
00941,B29-11
00942,B12-2
00943,B12-2
00944,B12-1
00945,B12-1
00946,B12-1
00947,B12-1
00948,B12-1
00949,B12-1
00950,B12-1
00951,B12-1
00952,B12-1
00953,B12-1
00954,B12-1
00955,B12-1
00956,B12-1
00957,B12-1
00958,B12-1
00959,B12-1
00960,B12-1
00961,B12-1
00962,B12-1
00963,B12-1
00964,B12-1
00965,B12-1
00966,B12-1
00967,B12-1
00968,B12-1
00969,B12-1
00970,B12-1
00971,B12-1
00972,B12-2
00973,B12-2
00974,B39-2
00975,B39-2
00976,B2-2
00977,B14-2
00978,B14-2
00979,B12-1
00980,B33-2
00981,B14-2
00982,B14-2
00983,B14-2
00984,B14-2
00985,B15-2
00986,B13-2
00987,B13-1
00988,B13-1
00989,B13-1
00990,B13-1
00991,B13-1
00992,B13-1
00993,B13-1
00994,B13-1
00995,B13-1
00996,B13-1
00997,B13-1
00998,B13-1
00999,B13-1
01000,B13-1
01001,B13-1
01002,B13-1
01003,B13-1
01004,B13-1
01005,B13-2
01006,B13-1
01007,B13-1
01008,B13-1
01009,B13-1
01010,B13-1
01011,None
01012,None
01013,None
01014,None
01015,None
01016,None
01017,None
01018,B13-2
01019,B39-2
01020,B30-4
01021,B1-2
01022,B31-2
01023,B7-1
01024,B15-1
01025,B33-2
01026,B34-2
01027,B32-1
01028,B31-2
01029,B14-2
01030,B14-2
01031,B14-2
01032,B14-2
01033,B14-2
01034,B14-2
01035,B14-2
01036,B14-2
01037,B14-2
01038,B14-2
01039,B14-2
01040,B14-2
01041,B14-2
01042,B14-2
01043,B14-2
01044,B14-2
01045,B14-2
01046,B14-2
01047,B14-2
01048,B14-2
01049,B14-2
01050,B31-2
01051,B37-1
01052,B15-2
01053,B6-1
01054,B10-1
01055,B31-2
01056,B16-2
01057,B16-2
01058,B34-1
01059,B15-2
01060,B16-2
01061,B25-1
01062,B31-2
01063,B15-2
01064,B15-2
01065,B15-2
01066,B15-2
01067,B15-2
01068,B15-2
01069,B15-2
01070,B15-2
01071,B15-2
01072,B15-2
01073,B15-2
01074,B15-2
01075,B15-2
01076,B15-2
01077,B15-2
01078,B15-2
01079,B15-2
01080,B15-2
01081,B15-2
01082,B15-2
01083,B15-2
01084,B15-2
01085,B15-2
01086,B15-2
01087,B15-2
01088,B15-2
01089,B15-2
01090,B31-2
01091,B16-2
01092,B1-1
01093,B19-2
01094,B6-1
01095,B35-1
01096,B39-2
01097,B33-1
01098,B15-2
01099,B38-2
01100,B39-2
01101,B16-2
01102,B16-1
01103,B16-1
01104,B16-2
01105,B16-1
01106,B16-1
01107,B16-2
01108,B16-1
01109,B16-1
01110,B16-1
01111,B16-2
01112,B16-2
01113,B16-2
01114,B16-2
01115,B16-2
01116,B16-2
01117,B16-2
01118,B16-2
01119,B16-2
01120,B16-2
01121,B16-2
01122,B16-2
01123,B16-2
01124,B16-1
01125,B16-2
01126,B16-2
01127,B16-2
01128,B16-2
01129,B16-2
01130,B16-2
01131,B16-2
01132,B16-2
01133,B15-2
01134,B15-2
01135,B37-2
01136,B10-1
01137,B18-2
01138,B15-2
01139,B18-2
01140,B33-2
01141,B32-1
01142,B18-2
01143,B18-2
01144,B18-2
01145,B18-2
01146,B32-2
01147,B17-2
01148,B17-2
01149,B17-2
01150,B17-2
01151,B17-2
01152,B17-2
01153,B17-2
01154,B17-2
01155,B17-2
01156,B17-2
01157,B17-2
01158,B17-2
01159,B17-2
01160,B17-2
01161,B17-2
01162,B17-2
01163,B17-2
01164,B17-2
01165,B17-2
01166,B17-2
01167,B17-2
01168,B17-2
01169,B17-2
01170,B17-2
01171,B17-2
01172,B12-1
01173,B13-2
01174,B30-3
01175,B21-2
01176,B7-1
01177,B15-1
01178,B15-1
01179,B34-2
01180,B31-2
01181,B32-1
01182,B36-2
01183,B4-2
01184,B18-2
01185,B18-1
01186,B18-1
01187,B18-1
01188,B18-2
01189,B18-2
01190,B18-1
01191,B18-1
01192,B18-2
01193,B18-2
01194,B18-2
01195,B8-1
01196,B18-1
01197,B18-1
01198,B39-2
01199,B9-1
01200,B35-1
01201,B37-2
01202,B18-2
01203,B18-1
01204,B18-2
01205,B18-2
01206,B18-2
01207,B18-2
01208,B18-2
01209,B18-2
01210,B18-2
01211,B18-2
01212,B39-2
01213,B37-1
01214,B20-2
01215,B29-11
01216,B33-2
01217,B20-2
01218,B20-2
01219,B20-2
01220,B37-1
01221,B31-1
01222,B20-2
01223,B39-2
01224,B15-2
01225,B15-2
01226,B19-2
01227,B19-2
01228,B19-2
01229,B19-2
01230,B19-2
01231,B19-2
01232,B19-2
01233,B19-2
01234,B19-2
01235,B19-2
01236,B19-2
01237,B19-2
01238,B19-1
01239,B19-2
01240,B19-2
01241,B19-1
01242,B19-2
01243,B19-2
01244,B19-2
01245,B19-2
01246,B19-2
01247,B19-2
01248,B19-2
01249,B19-2
01250,B19-2
01251,B19-2
01252,B19-2
01253,B19-2
01254,B19-2
01255,B19-2
01256,B19-2
01257,B19-2
01258,B19-2
01259,B19-2
01260,B19-2
01261,B19-2
01262,B19-2
01263,B19-2
01264,B19-2
01265,B19-2
01266,B19-2
01267,B19-2
01268,B19-2
01269,B19-2
01270,B19-2
01271,B19-2
01272,B19-2
01273,B19-2
01274,B19-2
01275,B19-2
01276,B31-2
01277,B25-1
01278,B15-2
01279,B33-2
01280,B37-1
01281,B21-2
01282,B39-2
01283,B39-2
01284,B15-2
01285,B15-2
01286,B15-2
01287,B39-2
01288,B15-1
01289,B15-2
01290,B1-2
01291,B37-1
01292,B15-2
01293,B20-2
01294,B20-2
01295,B20-2
01296,B20-2
01297,B20-2
01298,B15-2
01299,B20-1
01300,B20-2
01301,B20-2
01302,B20-2
01303,B20-2
01304,B20-2
01305,B20-2
01306,B20-2
01307,B20-2
01308,B20-2
01309,B20-2
01310,B20-2
01311,B20-2
01312,B20-2
01313,B20-1
01314,B20-1
01315,B20-1
01316,B20-1
01317,B15-2
01318,B39-2
01319,B20-2
01320,B20-2
01321,B20-2
01322,B20-2
01323,B15-2
01324,B31-2
01325,B39-2
01326,B22-2
01327,B22-2
01328,B29-11
01329,B31-1
01330,B22-2
01331,B22-2
01332,B22-2
01333,B22-2
01334,B22-2
01335,B21-2
01336,B21-2
01337,B21-2
01338,B21-2
01339,B21-2
01340,B21-2
01341,B21-2
01342,B21-2
01343,B21-2
01344,B21-2
01345,B21-2
01346,B21-2
01347,B21-1
01348,B21-1
01349,B21-1
01350,B21-1
01351,B21-1
01352,B21-1
01353,B21-1
01354,B21-1
01355,B21-1
01356,B21-2
01357,B21-2
01358,B22-2
01359,B15-2
01360,B39-2
01361,B31-2
01362,B24-2
01363,B39-2
01364,B39-2
01365,B37-1
01366,B21-1
01367,B39-2
01368,B24-2
01369,B39-2
01370,B22-1
01371,B22-1
01372,B22-1
01373,B22-1
01374,B22-1
01375,B22-1
01376,B22-1
01377,B22-1
01378,B22-1
01379,B22-2
01380,B22-2
01381,B22-1
01382,B22-1
01383,B22-1
01384,B22-1
01385,B22-1
01386,B22-1
01387,B22-1
01388,B22-2
01389,B22-2
01390,B22-1
01391,B22-1
01392,B22-2
01393,B22-2
01394,B22-2
01395,B22-2
01396,B22-2
01397,B22-2
01398,B22-2
01399,B22-2
01400,B22-2
01401,B22-2
01402,B22-2
01403,B37-1
01404,B15-2
